Match,Date,Duration,Team,Picks,Bans,Team.1,Picks.1,Bans.1,Winner,match_id,barracks_status_dire,barracks_status_radiant,cluster,dire_score,dire_team_id,duration,engine,first_blood_time,game_mode,human_players,leagueid,lobby_type,match_seq_num,radiant_gold_adv,radiant_score,radiant_team_id,radiant_win,radiant_xp_adv,start_time,tower_status_dire,tower_status_radiant,version,replay_salt,series_id,series_type,patch,region,throw,loss,replay_url,comeback,stomp,date,time
6225233668,16 oct. 2021 01:11,52:53,Team Secret,Io  Gyrocopter  Windranger  Beastmaster  Ursa,Tiny  Magnus  Lycan  Snapfire  Kunkka  Puck  Lina,PSG.LGD,Monkey King  Elder Titan  Legion Commander  Bane  Leshrac,Ancient Apparition  Invoker  Storm Spirit  Enchantress  Ember Spirit  Sniper  Templar Assassin,PSG.LGD,6225233668.0,60.0,51.0,274.0,21.0,15.0,3173.0,1.0,326.0,2.0,10.0,13256.0,1.0,5205524967.0,"0,18,-46,239,505,329,-217,-329,-760,-803,-980,-1666,-898,-448,-742,-447,-346,-471,-229,-1223,-1454,-1882,-2203,130,-452,-413,-40,-767,-220,-283,-1884,-816,-1172,-138,1058,1788,3719,4200,4350,4106,3995,3640,3698,4439,4393,3098,5098,6125,7548,8280,10359,11161,3404",21.0,1838315.0,False,"0,37,-149,-30,-51,213,-269,-622,-951,-885,-456,-1336,-1219,-554,-1157,-1599,-2140,-2320,-2226,-3224,-4326,-4901,-5126,-1055,-2766,-2865,-2563,-4268,-4171,-4849,-7867,-7002,-7875,-3857,-2980,-2853,-683,-2470,-2203,-1453,-1446,-833,-1850,-1386,-1504,-5374,-3926,-2928,-516,48,3129,4900,-7813",1634382661.0,1824.0,1798.0,21.0,809139795.0,603238.0,1.0,49.0,3.0,,,http://replay274.valve.net/570/6225233668_809139795.dem.bz2,11161.0,2203.0,10-16,19:11
6225151294,16 oct. 2021 11:58,42:36,Team Secret,Magnus  Winter Wyvern  Snapfire  Weaver  Dragon Knight,Monkey King  Earthshaker  Storm Spirit  Rubick  Skywrath Mage  Lina  Tinker,PSG.LGD,Tiny  Ogre Magi  Lycan  Phoenix  Puck,Ancient Apparition  Invoker  Ursa  Necrophos  Lifestealer  Templar Assassin  Ember Spirit,PSG.LGD,6225151294.0,63.0,,274.0,22.0,15.0,2556.0,1.0,256.0,2.0,10.0,13256.0,1.0,5205453258.0,"0,124,244,8,34,653,703,1055,1196,943,949,756,876,608,968,773,1,388,340,-493,-1465,-2193,-2239,-2630,-2282,-3710,-4458,-5007,-5914,-6488,-6987,-7305,-6546,-7787,-8171,-7978,-8957,-9383,-10069,-11329,-12019,-15302,-21889",12.0,1838315.0,False,"0,35,259,57,-97,792,852,1067,838,267,-462,-142,-1110,-1679,-1707,-2023,-3978,-3046,-3011,-3363,-4465,-4901,-3404,-2779,-962,-5514,-5965,-6673,-8753,-11343,-11713,-14597,-10943,-10584,-10603,-9554,-11192,-10644,-11764,-13873,-14835,-23281,-31862",1634378329.0,1974.0,,21.0,1773253384.0,603238.0,1.0,49.0,3.0,,,http://replay274.valve.net/570/6225151294_1773253384.dem.bz2,1196.0,21889.0,10-16,17:58
6225051773,16 oct. 2021 10:31,46:57,Vici Gaming,Monkey King  Snapfire  Earthshaker  Morphling  Leshrac,Io  Tiny  Mars  Beastmaster  Tidehunter  Ursa  Faceless Void,INVICTUS GAMING,Phoenix  Storm Spirit  Doom  Lion  Spectre,Weaver  Magnus  Lina  Nyx Assassin  Puck  Shadow Fiend  Dragon Knight,INVICTUS GAMING,6225051773.0,63.0,51.0,273.0,39.0,5.0,2817.0,1.0,177.0,2.0,10.0,13256.0,1.0,5205377111.0,"0,50,371,914,1240,1473,1393,1342,1911,1554,2845,2946,2253,1801,1736,1650,1374,933,1492,2720,2763,2772,2782,3216,4605,5860,6928,8240,8398,5717,5013,4741,4369,4482,3868,3977,1807,1,-2131,-2102,-3121,-4561,-9659,-13990,-16411,-16949,-18460",28.0,726228.0,False,"0,-65,342,448,496,900,1039,911,1792,1617,2680,1796,1207,-404,-557,-792,1642,853,2256,3847,4576,5005,4830,5113,7286,9030,11354,12875,13358,7720,7182,6491,6198,6346,5294,4197,-650,-1238,-5915,-5929,-5579,-8543,-19024,-18898,-24681,-27282,-32439",1634373070.0,1828.0,262.0,21.0,309118681.0,603215.0,1.0,49.0,3.0,,,http://replay273.valve.net/570/6225051773_309118681.dem.bz2,8398.0,18460.0,10-16,16:31
6224962333,16 oct. 2021 09:07,51:50,INVICTUS GAMING,Magnus  Phoenix  Ember Spirit  Wraith King  Clockwerk,Weaver  Silencer  Lycan  Shadow Demon  Legion Commander  Abaddon  Oracle,Vici Gaming,Tiny  Lina  Lion  Doom  Brewmaster,Io  Mars  Templar Assassin  Ursa  Monkey King  Disruptor  Elder Titan,INVICTUS GAMING,6224962333.0,51.0,63.0,274.0,34.0,726228.0,3110.0,1.0,,2.0,10.0,13256.0,1.0,5205309613.0,"-311,27,-323,-772,-946,-1218,-1068,-1323,-1214,-1424,-1901,-1786,-1807,-3980,-1851,-2116,-1970,-2670,-2414,-3518,-4168,-5421,-5881,-5292,-3734,-5319,-5840,-4787,-5844,-5126,-6686,-7116,-7426,-7158,-8565,-10879,-11794,-12133,-12291,-11386,-8348,-3446,-4848,-4882,-5864,-6254,-7112,-6028,-6572,-6544,-6974,-2589",39.0,5.0,True,"-100,-156,-267,-587,-685,-795,-1149,-1685,-1576,-1645,-1092,-1744,-1431,-2840,-333,-191,0,-803,-385,-2895,-4238,-5186,-5601,-5530,-2701,-6141,-7013,-5266,-4221,-2161,-5039,-6275,-5127,-4997,-9845,-13105,-14649,-14559,-14086,-12363,-7517,-4096,-9366,-9647,-10754,-11468,-11522,-7737,-8202,-7485,-6017,1411",1634368070.0,1920.0,1830.0,21.0,1310719484.0,603215.0,1.0,49.0,3.0,12291.0,27.0,http://replay274.valve.net/570/6224962333_1310719484.dem.bz2,,,10-16,15:07
6224010002,15 oct. 2021 05:48,51:58,Team Spirit,Tiny  Snapfire  Doom  Lina  Silencer,Dawnbreaker  Storm Spirit  Ursa  Terrorblade  Medusa  Centaur Warrunner  Sand King,Virtus.pro,Phoenix  Bane  Luna  Invoker  Beastmaster,Mars  Magnus  Tidehunter  Legion Commander  Shadow Demon  Faceless Void  Weaver,Team Spirit,6224010002.0,22.0,51.0,274.0,25.0,1883502.0,3118.0,1.0,141.0,2.0,10.0,13256.0,1.0,5204546571.0,"0,-38,-51,-317,-141,373,264,403,-77,-376,-115,1025,2014,2425,1448,1276,1968,1196,516,-122,-2085,-880,-2560,-3507,-3071,-1259,-589,-831,-715,-1292,-764,-336,-468,1585,2492,3231,3752,3800,3841,5382,6400,9458,10991,12625,10137,9525,8007,6348,4206,8624,10429,15377",32.0,7119388.0,True,"0,13,21,-203,-119,753,311,296,-17,-299,-571,-79,-5,-230,-146,-886,57,-1866,-2087,-4052,-7611,-5813,-7892,-8034,-6731,-4364,-3768,-3733,-5548,-7431,-6218,-7049,-7393,-3833,-254,-1115,-979,-1684,-2486,-567,-325,2643,5287,9413,4625,3187,146,504,-1197,6536,7763,25608",1634312899.0,,1798.0,21.0,1303738236.0,602965.0,1.0,49.0,3.0,3507.0,15377.0,http://replay274.valve.net/570/6224010002_1303738236.dem.bz2,,,10-15,23:48
6223877657,15 oct. 2021 04:28,46:21,Team Spirit,Io  Tidehunter  Shadow Shaman  Leshrac  Terrorblade,Dawnbreaker  Tiny  Medusa  Luna  Monkey King  Underlord  Dark Seer,Virtus.pro,Elder Titan  Bane  Ursa  Viper  Pangolier,Mars  Magnus  Lion  Weaver  Invoker  Faceless Void  Gyrocopter,Virtus.pro,6223877657.0,63.0,3.0,274.0,34.0,1883502.0,2781.0,1.0,324.0,2.0,10.0,13256.0,1.0,5204436151.0,"0,155,-118,117,427,228,469,-120,8,-211,-187,-1299,-1590,-825,-1803,-927,-2104,-2258,-3372,-3349,-3655,-3753,-5268,-5732,-5313,-4673,-5745,-5255,-4177,-5979,-5958,-6084,-5519,-8800,-9754,-11449,-12102,-14118,-15680,-16041,-15303,-14295,-16087,-16227,-17433,-19562,-25376",15.0,7119388.0,False,"-24,45,-151,33,64,-217,-350,-1240,-1996,-2018,-2328,-3280,-3893,-2904,-2752,-3451,-5779,-6829,-8314,-8576,-9496,-9159,-12417,-14447,-14718,-14576,-16535,-17185,-16178,-18415,-18780,-19696,-17806,-22560,-24112,-27424,-27958,-30667,-32757,-33478,-31100,-29998,-35363,-36862,-39335,-44985,-50873",1634308137.0,1974.0,4.0,21.0,884210613.0,602965.0,1.0,49.0,3.0,,,http://replay274.valve.net/570/6223877657_884210613.dem.bz2,469.0,25376.0,10-15,22:28
6223756939,15 oct. 2021 03:13,46:42,Virtus.pro,Elder Titan  Medusa  Kunkka  Lion  Underlord,Mars  Magnus  Ursa  Morphling  Slark  Faceless Void  Luna,Team Spirit,Weaver  Tidehunter  Invoker  Bane  Monkey King,Storm Spirit  Tiny  Puck  Doom  Void Spirit  Beastmaster  Bloodseeker,Team Spirit,6223756939.0,63.0,,273.0,33.0,7119388.0,2802.0,1.0,66.0,2.0,10.0,13256.0,1.0,5204333038.0,"0,230,311,240,133,106,556,548,583,852,1696,1774,2325,2291,3126,3253,3407,4051,2763,3041,1891,2128,1736,1375,266,779,957,1928,294,-322,-621,-457,-2223,-2013,72,-1346,-1961,-1492,-2465,-3975,-9674,-11902,-11861,-12991,-15633,-16336,-18842",16.0,1883502.0,False,"0,281,283,-50,-267,-220,-26,101,-480,-306,128,-389,477,43,1994,1293,966,2504,492,50,-1228,1650,2294,1508,-164,1678,2309,2548,2735,1750,1776,1332,-3083,-2436,-452,-2795,-4331,-3707,-7106,-11384,-16006,-14628,-15343,-16387,-25770,-29940,-34267",1634303634.0,2036.0,,21.0,830695205.0,602965.0,1.0,49.0,3.0,,,http://replay273.valve.net/570/6223756939_830695205.dem.bz2,4051.0,18842.0,10-15,21:13
6223662107,15 oct. 2021 02:04,28:47,T1,Magnus  Tidehunter  Enchantress  Batrider  Wraith King,Weaver  Lina  Lycan  Beastmaster  Doom  Legion Commander  Earthshaker,Vici Gaming,Tiny  Monkey King  Disruptor  Shadow Fiend  Vengeful Spirit,Io  Treant Protector  Medusa  Ursa  Lifestealer  Slark  Terrorblade,Vici Gaming,6223662107.0,63.0,,273.0,23.0,726228.0,1727.0,1.0,69.0,2.0,10.0,13256.0,1.0,5204233596.0,"0,-31,32,-177,799,274,248,398,303,353,543,-583,-996,1292,1191,1145,1212,174,508,-385,-365,-429,-1498,-2750,-1739,-2061,-2969,-8759,-10117",15.0,8214850.0,False,"0,-38,-241,-478,35,-635,-987,-1197,-960,-963,-763,-2327,-3038,-97,-303,-230,-56,-1662,-1916,-3571,-3779,-2978,-6898,-8475,-7310,-7471,-7978,-11440,-12156",1634299470.0,1974.0,,21.0,772930665.0,602932.0,1.0,49.0,3.0,,,http://replay273.valve.net/570/6223662107_772930665.dem.bz2,1292.0,10117.0,10-15,20:04
6223583227,15 oct. 2021 12:55,37:37,Vici Gaming,Weaver  Lina  Elder Titan  Faceless Void  Beastmaster,Io  Treant Protector  Invoker  Templar Assassin  Puck  Morphling  Medusa,T1,Monkey King  Lion  Earthshaker  Dragon Knight  Dawnbreaker,Tiny  Magnus  Enchantress  Venomancer  Tidehunter  Legion Commander  Lycan,Vici Gaming,6223583227.0,3.0,63.0,274.0,18.0,8214850.0,2257.0,1.0,244.0,2.0,10.0,13256.0,1.0,5204180102.0,"0,36,129,500,332,691,917,1477,1341,846,191,-48,-453,-178,-515,-923,-733,-1742,-2129,-3150,-3521,-1861,-1338,-2623,-956,-153,263,1276,2084,1856,1938,894,220,1937,4172,5424,7060,8379",19.0,726228.0,True,"0,169,186,764,165,353,1309,1445,1145,734,-184,-1835,-1589,-1133,-1703,-2504,-2337,-3430,-4033,-6386,-6833,-5678,-4073,-6410,-2507,-1968,-2000,-355,1961,2135,942,-1869,-3040,987,5011,4673,7584,8157",1634295347.0,1540.0,1974.0,21.0,403582403.0,602932.0,1.0,49.0,3.0,3521.0,8379.0,http://replay274.valve.net/570/6223583227_403582403.dem.bz2,,,10-15,18:55
6223515865,15 oct. 2021 11:46,41:07,Vici Gaming,Rubick  Omniknight  Leshrac  Ursa  Mars,Tiny  Io  Dawnbreaker  Medusa  Elder Titan  Faceless Void  Shadow Demon,T1,Magnus  Lina  Monkey King  Enchantress  Razor,Weaver  Tidehunter  Templar Assassin  Invoker  Spectre  Doom  Earthshaker,T1,6223515865.0,63.0,55.0,274.0,36.0,8214850.0,2467.0,1.0,115.0,2.0,10.0,13256.0,1.0,5204126036.0,"0,-49,-729,-979,-952,-855,-1328,-1386,-2428,-2492,-3305,-4006,-4785,-4976,-5480,-5569,-5992,-5881,-7029,-6976,-7757,-7476,-7358,-7965,-9729,-10003,-11933,-13066,-13924,-9110,-9694,-12621,-12949,-12232,-10622,-11904,-11152,-11428,-11108,-11203,-12938,-20009",19.0,726228.0,False,"0,-175,-542,-547,-460,-68,-927,-349,-1205,-1614,-1901,-2247,-4398,-4721,-5856,-6499,-7222,-7283,-8295,-8967,-11486,-10598,-10634,-13248,-18498,-18510,-24182,-26016,-27505,-18304,-19217,-24280,-21685,-20302,-16406,-22086,-21275,-21530,-21115,-21101,-26457,-39630",1634291175.0,1974.0,260.0,21.0,949219477.0,602932.0,1.0,49.0,3.0,,,http://replay274.valve.net/570/6223515865_949219477.dem.bz2,,20009.0,10-15,17:46
